asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
1662,Flow Meter,MF,Em-Tec GmBH,EM12607,89862,HPNE,EM12607,31716,Yes,"BCT 3/8x1/8 A

A clamp-on transducer that measures liquid flow through single use tubing (18-0102) by sound wave technology. The unit communicates to a Quattroflow pump. ",Intended for use at column chromatography during steps to measure flow rates.,1-10LPM,GMP,Yes,No,Yes,N/A,"Semi-annual calibration by manufacturer (in Germany - unit needs to be shipped out for CAL) using water at ambient temp with C-Flex 374 [#23] (BCT 3/8 x 1/8A) tubing material.  Maximum flow rate is 10lpm, calibration at 1lpm (+/-5%), 5lpm (+/-3.4%) and 8lpm (+/- 3.3%). 

Three primary factors influence the accuracy of the meter: tubing material, the density of the medium and temperature of the liquid being measured. Therefore the unit must be calibrated to the specific tubing material and dimensions.",CAL-6,No,No preventive maintenance is required per manufacturer and/or vendor as there are no moving parts within the unit. ,N/A,N/A,Yes,Tier 1,Yes,N/A,"A Performance Qualification is to be performed to evaluate and verify the accuracy of various flow rates between 1-10lpm of the Emtec Flow Meter integrated with the Quattroflow Pump. The acceptance criteria to define accuracy is to be tested by Downstream Process Development team. In addition, the pump's Totalizer feature will also be verified.  ",16006-PQ,PQ successfully executed and approved.  Unit is ready for GMP use. 
1663,Sartocon Slice Plate and Frame,MF,Sartorious Stedim,BB-8775004,65110005,Sartorious Stedim,BB-8775004,31325,Yes,Plate and frame filter holder system. ,The holder will use a 0.42m2 cassette for UFDF steps. This device does not come in contact with the product and therefore can be categorized as low impact.,0-200bar. Process: 80-115 bar (1200-1650 Psi),GMP,Yes,No,No,"Equipment users will maintain the holder per MF108 and does not require additional CAL/PM.  

",N/a,N/A,No,"Equipment users will maintain the holder per MF108 and does not require additional CAL/PM 

This slice holder is essentially nuts and bolts and does not require PM. ",N/A,N/A,No (Calibration/Maintenance Not Required),Tier 3,No,No qualification recommended or required for this tier 3 holder ,N/A,,
1664,Sartoflow Plate and Frame Holder ,MF,Sartorious Stedim,85037-544-46,65120001,Sartorious Stedim,85037-544-46,31325,Yes,Plate and Frame TFF filter cassette holder with hydraulic pump system.,For UFDF steps requiring 1.4m2 filter surface area. There is no product contact during the use of this device.,"0 -200 bar, process: 150-170 Bar (2175-2465 Psi).",GMP,Yes,No,No,Calibration not recommended by manufacturer (Sartorius) and calibration service vendor (Alert) as it would require taking the gauge off the unit ,N/A,N/A,No,No scheduled PM required for this unit; spot checks will be done by the equipment users prior to use per MF108 ,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 1,No,Holders and pumps do not require validation per EN010 nor manufacturer's recommendations,N/A,,
1665,45cm Chomatography Column,MF,GE,BFG 450/500,2028311,GE,BFG 450/500,31667,Yes,"45cm chromotography column consisting of a glass cylinder, stainless housing and column adaptor",Column will be used to house resin for chromotography,N/A,GMP,No,Yes,No,Does not require scheduled calibration,N/A,N/A,No,During changeover all parts are checked,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 1,No,"During changeover, columns are swabbed and tested for Total Organic Carbon (TOC) level prior to GMP use. ",N/A,,
1666,Thermometer,MF,Control Company,23609-176,150673667,VWR,23609-176,32467,Yes,Long stem digital thermometer.,Measuring the temperature of non-product in process liquids. Low impact.,-50C to 300C,GMP,No,No,No,Thermometer will be disposed after its calibration due date on 08SEP2017. ,N/A,N/A,No,No moving parts to PM for thermometers,N/A,N/A,Yes,Tier 4,No,Thermometers / tier 4 instruments do not get qualified ,N/A,N/A,Validation/Qualification not required for Tier 4 timers.
1667,Torque Wrench,MF,Wera,7000A,OE02401,High Purity New England,QF12TKIT,31292,Yes,A calibrated torque wrench.,For use with the 1200 Quattroflow pumps to apply correct torque the single use pump chamber. ,5-25Nm. 1.5-1.8lbf-ft.,GMP,No,No,Yes,N/A,"This torque wrench will be calibrated to 5, 15, and 25 Nm with +/-4% tolerance annually. ",CAL-12,No,No moving parts for the torque wrench and a PM was not required per manufacturer or vendor,N/A,N/A,Yes,Tier 3,No,"Annual calibration would suffice the requirements for using this torque wrench as the unit will be verified at the low (5Nm), mid (15Nm), and high (25Nm) values of the process range. ",N/A,Qualification/Validation Not Required,N/A
1668,Torque Wrench,MF,Wera,7000A,OE02428,HPNE,QF12TKIT,31292,Yes,Torque wrench.,To tighten the single use pump chamber into the quattroflow 1200 pumps.,"5-25nM, 1.5-18lbf",GMP,No,No,Yes,N/A,"This torque wrench will be calibrated to 5, 15, and 25 Nm with +/-4% tolerance annually. ",CAL-12,No,No moving parts for the torque wrench and a PM was not required per manufacturer or vendor,N/A,N/A,Yes,Tier 3,No,"Annual calibration would suffice the requirements for using this torque wrench as the unit will be verified at the low (5Nm), mid (15Nm), and high (25Nm) values of the process range. ",N/A,,
1669,Timer,MF,Control Company,5004-169,150696774,VWR,62344641,32467,Yes,Calibrated Timer.,To measure time in processing. Low impact.,"to the second, up to 99 hours.",GMP,No,No,No,Timer will be discarded after its current calibration is due 18SEP2017,N/A,N/A,No,No moving parts to PM for timers ,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Timers / tier 4 instruments do not get qualified ,N/A,,
1670,Long Stem Thermometer,MF,Control Company,23609-176,150673654,VWR,23609-176,32467,Yes,Long stem calibrated thermometer.,To measure temperature of in process liquids. Low impact.,-50  to + 300C,GMP,No,No,No,Thermometer will be discarded after its calibration is due on SEP2017. ,N/A,N/A,No,No PMs necessary for this thermometer as it does not contain any moving parts,N/A,N/A,Yes,Tier 4,No,Tier 4 thermometers do not require qualification/validation. ,N/A,N/A,N/A
1671,Temp and RH Transmitter (Rm 107),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Cell Culture 1 (Room 107) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature; +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,No,"Unit is for monitoring use only with no controls, qualification not required as the semi-annual calibration would meet requirements.",N/A,,
1672,Temp and RH Transmitter (Rm 111),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Cell Culture 2 (Room 111) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,No,"Unit is for monitoring use only with no controls, qualification not required as the semi-annual calibration would meet requirements.",N/A,,
1673,Temp and RH Transmitter (Rm 115),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Purification 1 (Room 115) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature, +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,No,"Unit is for monitoring use only with no controls, qualification not required as the semi-annual calibration would meet requirements.",N/A,,
1674,Temp and RH Transmitter (Rm 117),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Purification 2 (Rm 117),Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature, +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,No,"Unit is for monitoring use only with no controls, qualification not required as the semi-annual calibration would meet requirements.",N/A,,
1676,Mass Flow Controllers,MF,Finesse,F110-2098-604,AD7801630001A134,Finesse,N/A,32143,No,"Mass Flow Controllers for Single Use Bioreactors in Cell Culture MF; Gases: Air, Air, O2, CO2 (Config Code: A10-A10-O05-C02-000-000)","Back up for MFCs (Asset #1587, 1588).  Unit is used to control flow rate of various gases to the SUBs used in GMP Manufacturing.","Air 1 0-6lpm, Air 2 0-6lpm, O2 0-5lpm, CO2 0-2lpm ",GMP,No,No,Yes,N/A,Unit is sent out and calibrated by manufacturer (Finesse) and is calibrated per manufacturer's recommendations,CAL-12,No,"Unit has no moving parts, PM not required per manufacturer's recommendations",N/A,N/A,Yes,Tier 1,No,Annual calibration would suffice the intended use of the equipment per manufacturer's recommendations.  ,N/A,,
1677,Timer,MF,Control Company,62344-641,150696935,VWR,62344-641,32467,Yes,Digital Timer.,Measure time in processing.,0 to 99:99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,Tier 4,No,Initial calibration would suffice the intended use of this unit. ,N/A,N/A,N/A
1678,Timer,MF,Control Company,62344-641,150696775,VWR,62344-641,32467,Yes,Digital Timer.,Measure time in processes.,00:00 to 99;99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,Tier 4,No,Initial calibration would suffice the intended use of this unit. ,N/A,N/A,N/A
1679,Timer,MF,Control Company,62344-641,150696992,VWR,62344-641,32467,Yes,Digital Timer,Measures time in processing.,00:00 to 99:99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,Tier 4,No,Initial calibration would suffice the intended use of this unit. ,N/A,N/A,N/A
1680,Walk in Cold Room Rm247,QC,Modulalarm Corp,75,N/A,N/A,N/A,N/A,No,Walk in cold room for the storage of GMP materials. The cold room had been assigned asset # 1044 Change of ownership was documented on a new asset accession form and new asset # number needs to be assigned.,"Storage for in process manufacturing samples, GMP materials/reagents for testing and drug product reserves. ",2-8C,GMP,No,No,Yes,N/A,"2-8C, +/- 1C ",CAL-6,Yes,N/A,"Checks condensing unit, compressor, fans, refrigerant quantity,driers, evaporator coil, control panel, various pressures, etc. ",PM-6,Yes,Tier 3,Yes,N/A,"Evaluation of repair, full 24 hour empty chamber temperature mapping study and an open door temperature mapping study will be completed prior to GMP use. ",09049-IOQ-A1,"First amendment to original qualification 09049-IOQ-P to evaluate recent repair, full 24 hour empty chamber temperature mapping study and an open door temperature mapping study will be completed prior to GMP use. "
1683,Wavelength Resolution Reference Material for UV & Visible Spectrophotometry,QC,Starna Scientific,RM-TX,22471,Starna Scientific,RM-TX,33149,Yes,NIST wavelength resolution spectrophotometric standard:  Hexane in Toluene.,Semi annual calibration/PM of UV-VIS spectrometer 0394,NA,GMP,No,No,Yes,N/A,Manufacturer's specifications,CAL-24,No,No PM required per manufacturer's recommendation as there are no moving parts in this unit,N/A,N/A,Yes,Tier 3,No,Original calibration would suffice the intended use of this unit. ,N/A,N/A,N/A
1684,Stray Light Reference Material for UV & Visible Spectrophotometry,QC,Starna Scientific,RM-KC,22470,Starna Scientific,RM-KC,33149,Yes,NIST KCl spectrophotometric stray light standard,Semi annual calibration of UV-VIS spectrophotometer 0394,NA,GMP,No,No,No,N/A,Manufacturer's specifications,CAL-24,No,No PM required per manufacturer's recommendation as there are no moving parts within this unit,N/A,N/a,Yes,Tier 3,No,Initial calibration would suffice the intended use of this unit.,N/A,N/A,N/A
1685,2-8 C Refrigerator,AD,Thermo Scientific,RCR314A14,50101838435U,Thermo Scientific,531DRA00006A,N/A,No,2-8 C Refrigerator ,"Storage of development samples and reagents.

Storage of reagents that support DP and DS release and stability testing.",2-8 C,Other,No,No,Yes,N/A,The attached thermometer (with temp display) gets calibrated semi-annually with the refrigerator; 5C +/-3C ,CAL-6,Yes,N/A,"(1) Clean compressor compartment, condenser, fan blades (2) Check back-up alarm battery out of circuit (3) Inspect compressor operation (4) Check amperage & voltage at compressor",PM-6,Yes,Tier 4,No,Scheduled calibration/PM would suffice the need for current operation of this unit ,N/A,N/A,N/A
1686,-20 C Freezer,AD,Fisher Scientific,13-986-148,2017090319624,Fisher Scientific,N/A,N/A,No,-20 C Freezer,Used to store samples and reagents for development.,<-18 C,Other,No,No,Yes,N/A,Calibrate external thermometer semi-annually to -20C +/- 2C ,CAL-6,Yes,N/A,"1.) Clean compressor compartment, condenser, condenser filter, fan blades  2.) inspect all relays 3.) check amerage and voltage at compressors 4.)check all seals, gaskets, latches, hinges 5.) inspect compressor operation",PM-6,Yes,Tier 4,No,Semi-annual calibration and PM would suffice the use of this equipment since there is no GMP material storage. ,N/A,,
1687,Viable Air Sampler,QC,MBV,DA-100 NT,110111,EMD Millipore,1091910001,33529,Yes,Viable Air Sampler,Use for Environmental Monitoring to detect viable air organisms,0-2000L (Acceleron range 500L-1000L),GMP,No,Yes,Yes,N/A,100 SLPM +/- 3.5% ,CAL-12,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,Yes,N/A,A standard IOQ will be performed for this air sampler to ensure the unit operates properly for its intended use. ,16013-IOQ,IOQ is to be performed internally prior to GMP use
1688,Balance Analytical Weight Set,AD,Tromner,7727-0W,4000018559,Tromner,N/A,33544,Yes,Analytical balance calibration weight set (5 mg - 100 g),To calibrate weighing balances in the AD department ,5 mg - 100 g,GMP,No,Yes,Yes,N/A,Manufacturer's specifications from 5mg to 100g ,CAL-12,No,No moving parts to PM,N/A,N/A,Yes,Tier 3,No,Tier 3 weight sets do not get qualified as annual calibration would suffice,N/A,,
1689,Mettler Toledo Floor Scale,MF,Mettler Toledo,2888 Deckmate,B618412770,Mettler Toledo,2888 Deckmate,33317,Yes,"A portable (wheels) stainless steel floor scale measuring 24""x24"" inches.", Measuring weight in GMP processes.,-300kg to 300kg +/- 0.1kg,GMP,No,No,Yes,N/A,Per Manufacturer's recommendations: 0.0 kg to 250.0 kg +/- 0.2kg,CAL-6,Yes,N/A,"Clean scales after calibration by vendor (semi-annually) with Septihol or equivalent. 

Clean scales at the end of each working day per MF031 by equipment owner with Septihol or equivalent. ",PM-6,Yes,Tier 3,No,Installation and calibration by manufacturer would suffice the use of this GMP floor scale,N/A,,
1690,DDM2911 Densitometer,QC,Rudolph Research Analytical,DDM2911,DDM3855,Rudolph Research Analytical,DDM2911,33425,No,DDM2911 Densitometer,"Density and specific gravity measurement for Drug Substance, Raw Materials and Formulations development.",NA,GMP,Yes,Yes,Yes,N/A,"Manufacturer provided re-qualification annually - including 2 NIST traceable standards 

Equipment user will also perform calibration/verification prior to each use ",CAL-12,Yes,N/A,manufacturer provided PM annually ,PM-12,Yes,Tier 3,Yes,N/A,IQ/OQ/PQ performed by the vendor per manufacturer's requirements,16015-IOQ,IQ/OQ/PQ performed by the vendor per manufacturer's requirements
1691,Sartorius Stedim Biowelder,MF,Sartorius Stedim,16370,RW1225,Sartorius Stedim,16370,N/A,Yes,Sartorius Stedim Biowelder,"Sterile welding of tubing to be used for liquid transfers in the GMP process steps. This will be used as a backup to our existing units. This unit could impact the sterility of the Wave bag, bioreactor, and harvest steps of the cell culture process.",N/A,GMP,No,No,Yes,N/A,(1) Depyrogenation Temp: >400°C for time >5 seconds (2) Ref. Temp. between 225°C & 255°C for time >10 seconds,CAL-6,Yes,N/A,(1) Inspect unit (2) Clean IR sensor (3) Clean internal parts with compressed air (4) Inspect latch bearing (5) Perform and verify test welds,PM-6,Yes,Tier 2,No,"This unit is a backup for 3 other equivalent Sartorius Biowelders and the chances of use is slim to none (only during emergencies in which all other 3 units fail); therefore, an appropriate calibration/PM semi-annually would suffice for its frequency of GMP use.  ",N/A,,
1692,2-8C Refrigerator,MF,Revco,RGL7504A24,0155462201160525,Thermo Scientific,RGL7504A24,33731,No,2-8C Refigerator.,The unit will store purification process intermediates at 2-8C.,2-8C,GMP,No,Yes,Yes,N/A,5.0C +/- 1.0C,CAL-6,Yes,N/A,"(1) Inspect compressor operation (2) Clean compressor compartment, condenser and fan blades (3) Check all seals, gaskets, latches, hinges (4) Check backup alarm battery (5) Check amperage and voltage at compressor (6) Inspect all relays",PM-6,Yes,Tier 1,Yes,N/A,"Installation Qualification and temperature mapping studies (Operation Qualification) will be completed to ensure the functionality and operation of this unit.  Temperature mapping studies include 24 hour empty chamber study, power outage study and open door study.  ",16014-IOQ,"A full installation qualification as well as temperature mapping studies (24-hour empty chamber, power outage, door opening) are conducted as part of the operational qualification prior to GMP use. "
1694,Refridgerated Centrivap Concentrator,AD,Labconco,Refridgerated Centrivap Concentrator,090198914B,Labconco,7310020,N/A,Yes,Refridgerated Centrivap Concentrator,To dry purified glycans at low temperatures to prevent degradation as part of TM151,-4 to 100 C,GMP,No,No,Yes,N/A,"500, 2000, 4500 rpm +/- 5%, +/- 2 C. +/- 1 min",CAL-6,Yes,N/A,"1. Check unit voltage and amperage
2. Check refrigeration system
3. Inspect rotors for pittance or imbalance
4. Check lid latch safety for proper operation
5. Check gaskets, seals, latches and hinges
6. Check cycle timer",PM-6,,Tier 3,No,"Centrifuge calibrated prior to use, does not require additional qualification/validation",N/A,,
1696,Climet Particle Counter,QC,Climet,CI-450T,166373,Climet,95045101,33531,Yes,Climet Particle Counter,Instrument to support QC EM program to monitor Total Particulates in GMP spaces,0.3um to 5.0um (Acceleron range 0.5um to 5.0um),GMP,No,Yes,Yes,N/A,"In conformance with ISO 21501-4.
Size calibration, count efficiency (0.5µm +/- 8nm); resolution testing (50LPM =<15%), false count rate testing (50 LPM: 4.0 counts)",CAL-12,No,No moving parts to PM in this instrument,N/A,N/A,Yes,Tier 3,Yes,N/A,"The Climet CI-450T Particle Counter unit will be qualified for Total Particulate monitoring for the CMF and QC Sampling Room.  The test will include installation required documentation, procedure verification from QC, calibration verification, installation inspection, utility verification and controller navigation testing.  ",16017-IOQ,"Installation requirements including documentation review, calibration/PM verification, utility verification and operational qualification requirements suc"
1703,Timer,QC,Control Company,62344-641,160434222,VWR,62344-641,34109,Yes,Timer,Record time in GMP assays,00:00:00 to 99:99:99,GMP,No,No,No,Timer will be discarded after its calibration expires on 11May2018.,N/A,N/A,No,No maintenance is required for a tier 4 timer,N/A,N/A,Yes,Tier 4,No,No qualification is required for a tier 4 timer,N/A,,
1708,Vi-Cell Cell Counter,MF,Beckman Coulter,383556,AZ23430,Beckman Coulter,383556,34175,No,Cell counter and cell viability analyzer,Perform cell counting and cell viability measurements,N/A,GMP,No,Yes,Yes,N/A,"- Measure power supply on J2 of the power supply, record values
- verify the optics and sample cell are clean from dust or blemishes
- verify the average light intensity is within 205+/-15
- verify front panel LED
- verify carousel alignment.  Ensure sample cup stops as close as possible within center of the cup sensing zone in all positions. 
-verify aspiration tube length.  Ensure aspiration tubing reaches the bottom of the cup in all positions
- Verify sipper arm alignment.  Ensure sipper arm metal portion is centered in the guide hole as it goes down. 
- verify total count / ml (concentration) is within 10% of assay value during instrument performance test",CAL-12,Yes,N/A,"1. Clean and inspect the chassis to ensure a good and clean condition.
2. Inspect the video and computer cables to ensure they are connected and in good
condition.
3. Check tubing for deterioration or kinks.
4. Replace the syringe (once each year) as part of the annual certification.
5. Verify the syringe connection (top) to the distribution valve is finger tight.
6. Verify the syringe lock is rotated full left and locked in place.
7. Ensure syringe plunger bottom screw is tight.
8. Verify the distribution valve fittings are tight.",PM-12,Yes,Tier 2,Yes,N/A,Full installation and operation qualification was performed by the manufacturer (Vi-Cell R V Check Package). ,16016-IOQ,Vendor provided IOQ/V-check was performed successfully 
1710,Unit Heater (UH-5),FAC,Trane,UHSB2801TAA00000000,F16G33292,LC Anderson,N/A,34767,No,Steam/Hot Water Unit Heater in 128 Grey Space Plenum (UH-5),Provides heating to keep the plenum of the 128 Sidney Grey Space area from freezing ,"Operating Pressure: 150psi, Output: 209,100 btu/hr, Max output temp: 200F",GMP,No,No,No,"Heaters do not get calibrated, only PM is done ",N/A,N/A,Yes,N/A,"1.) Motor: Check motor mounts, current and vibration
2.) Fan Blade: Inspect, check fan rotation and vibration
3.) Housing: clean dirt from surfaces, check mountings
4.) Plumbing: inspect, check pipe fittings, connections and signs of corrosion",PM-6,Yes,Tier 3,No,This unit has been properly installed and started up by the vendor (LC Anderson).  The purpose of this unit is to prevent the grey space (room 125) from freezing (below 50C) and does not directly impact the manufacturing process.  A validation is not required for such unit. ,N/A,,
1711,1290 Agilent HPLC,QC,Agilent,1290- Pump Model #G7104A,DEBAX00765,Agilent,N/A,34103,No,1290 Agilent HPLC,This unit is intended to run GMP assays in support of manufacturing process,N/A,GMP,No,Yes,Yes,N/A,Requalification Annually to include calibration/PM by manufacturer,CAL-12,Yes,N/A,Requalification Annually to include calibration/PM by manufacturer,PM-12,No (Calibration/Maintenance Not Required),Tier 1,Yes,N/A,Standard IQ/OQ performed on the instrument by manufacturer,16018-IOP,IQ/OQ has been completed successfully by vendor (Agilent); annual OQ will be performed thereafter.
1713,32 kg Mettler Toledo Balance,MF,Mettler Toledo,XS32000L,B634918777,Mettler Toledo,XS32000L,34876,Yes,32 kg Mettler Toledo Balance,Weighing GxP materials,"32 kg, 1 g readibility",GMP,No,No,Yes,N/A,"Standard Mettler Toledo benchtop balance calibration
- Eccentricity - 4 corners 
- Sensitivity 
- Linearity (Absolute Method)
- Repeatability ",CAL-6,Yes,N/A,Wipe balance down with 70% IPA or equivalent,PM-6,Yes,Tier 3,No,Only installation/calibration is required prior to use according to manufacturer's recommendations,N/A,N/A,Only installation/calibration is required prior to use according to manufacturer's recommendations
1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,20-200 microliter pipet,AD,Eppendorf,022472054,3635048,Eppendorf,na,na,Yes,20-200 microliter adjustable pipet,"Method development, method transfer to QC, test of process development samples",na,GMP,No,No,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,CAL-6,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,PM-6,Yes,Tier 4,No,Calibration is required for pipettes prior to GMP use,N/A,,
1717,Light Meter Pen / Illuminance Meter,QC,Control Company,62344-944,151819785,VWR,62344-944, 35617  ,Yes,Light Meter Pen/ Iluminance Meter,The light meter will be used to read the light intensity of the D50 lamp in the sample appearance box (TM004).,">/= 90 ft candle, 485-500 ft candle, full range is 0-5000 ft candle",GMP,No,No,Yes,N/A,"1X, 10X, and 100X LUX is =/- 6%",CAL-24,No,No moving parts to PM ,N/A,N/A,Yes,Tier 3,No,Unit gets calibrated every 2 years in order to ensure it is appropriate for continued GMP use.  This unit does not require qualification in addition to the calibration,N/A,,
1718,100-1000 microliter pipet (Rainin),AD,Rainin,17008653,I1100580G,Rainin,na,na,Yes,100-1000 microliter adjustable classic pipet,"Method development, method transfer to QC, process development analysis",na,GMP,No,No,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,CAL-6,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,PM-6,Yes,Tier 4,No,Calibration is required prior to GMP use for a pipette,N/A,,
1720,10-100 microliter adjustable pipet,AD,Eppendorf,022472003,2885738,Eppendorf,NA,NA,Yes,10-100 microliter adjustable pipet,"Method development, test method transfer to QC, process development sample analysis",NA,GMP,No,No,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,CAL-6,Yes,N/A,Level 4 (As Found & As Left) Calibration & PM,PM-6,Yes,Tier 4,No,Calibration is required prior to GMP use of pipettes,N/A,,
1723,Pipettor,PB,VWR,VWR VE20,642731320,VWR,89079-964,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist research and development,2-20μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP Pipette,N/A,,
1724,Pipettor,PB,VWR,VWR VE20,642731319,VWR,89079-964,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist research and development,2-20μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required,N/A,,
1725,Pipettor,PB,VWR,VWR VE200,642751560,VWR,89079-970,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist research and development,20-200μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required,N/A,,
1726,Pipettor,PB,VWR,VWR VE200,642751412,VWR,89079-970,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist research and development,20-200μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required,N/A,,
1727,Pipettor,PB,VWR,VWR VE1000,642762305,VWR,89079-974,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist research and development,100-1000μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required,N/A,,
1728,Pipettor,PB,VWR,VWR VE1000,642761988,VWR,89079-974,35248,Yes,VWR Signature Ergonomic High Performance Pipettor,General lab use to assist in research and development,100-1000μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required,N/A,,
1729,Wave 25 Bioreactor Rocker,MF,GE Healthcare,28988000,2119595,GE Healthcare,28988000,35583,Yes,Wave 25 Bioreactor Rocker,Perform cell growth and expansion of cells at the N-1 or N-2 cell culture step. Impact could be the delay of a production lot if equipment fails. There will be backup units available to reduce risk.,see attached file,GMP,Yes,Yes,Yes,N/A,"Calibration of load cells, weight measurement test, speed test, angle test, temperature sensor set",CAL-6,Yes,N/A,"Platform connection (tray, filter heater, pump)",PM-6,Yes,Tier 2,Yes,N/A,Vendor-executed IOQ (17006-IOQ-P) ,"17006-IOQ, 17007-IOQ",Vendor executed IOQ 
1730,Wave 25 Bioreactor Rocker,MF,GE Healthcare,28988000,2119594,GE Healthcare,28988000,35583,Yes,Wave 25 Bioreactor Rocker,Perform cell growth and expansion of cells at the N-1 or N-2 cell culture step. Impact could be the delay of a production lot if equipment fails. There will be backup units available to reduce risk.,see attached file,GMP,Yes,Yes,Yes,N/A,"Calibration of load cells, weight measurement test, speed test, angle test, temperature sensor set",CAL-6,Yes,N/A,"Platform connection (tray, filter heater, pump)",PM-6,Yes,Tier 2,Yes,N/A,Vendor-executed IOQ (1700-IOQ-P) - initial calibration / maintenance performed in the IOQ ,17007-IOQ-P,Vendor executed protocol
1734,4-Channel Digital Timer,MF,Control Company,62344-641,160896458,VWR,62344-641,36084,Yes,4- channel big digit timer ,Countdown timer and clock for manufacturing processes,0-100 hours,GMP,No,No,No,Timer will be disposed after current calibration expires in NOV2018,N/A,N/A,No,Timer will be disposed after current calibration expires in NOV2018,N/A,N/A,Yes,Tier 4,No,Qualification not required for a calibrated timer,N/A,,
1735,4-Channel Digital Timer,MF,Control Company,62344-641,160896353,VWR,62344-641,36084,Yes,4- channel big digit timer ,Countdown timer and clock for manufacturing processes,0-100 hours,GMP,No,No,No,Timer will be disposed after calibration expires in NOV2018,N/A,N/A,No,Timer will be disposed after calibration expires in NOV2018,N/A,N/A,Yes,Tier 4,No,Qualification not required for a calibrated tier 4 timer,N/A,,
