,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
1202,1631,30 cm Chromatography column,TBD,GE Healthcare,BPG 300/500,ID67473-2,GE Healthcare,1103-21,29453,Yes,30 cm Chromatography column,Ion exchange; cation exchange; gel filtration; affinity and hydrophobic interaction chromatography with compatible bioprocess media,N/A,GMP,No,Yes,No,Unit does not have parts that require calibration,N/A,N/A,No,Unit wil be inspected and cleaned prior to each use and does not require a scheduled PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,TBD,TBD,N/A,N/A
1203,1632,30 cm Chromatography column,TBD,GE Healthcare,BPG 300/500,ID66897,GE Healthcare,1103-21,29453,Yes,30 cm Chromatography column,Ion exchange; cation exchange; gel filtration; affinity and hydrophobic interaction chromatography with compatible bioprocess media,N/A,GMP,No,Yes,No,Unit does not have parts that require calibration,N/A,N/A,No,Unit wil be inspected and cleaned prior to each use and does not require a scheduled PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,TBD,TBD,N/A,N/A
1204,1634,"""Capillary Electrophoresis """"Patty""""""",AD,Beckman Coulter,PA800,3863565,N/A,N/A,N/A,No,"""Capillary Electrophoresis """"Patty""""""",Capillary electrophoresis of proteins,N/A,Other,No,Yes,Yes,N/A,N/A,CAL-12,Yes,N/A,N/A,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
1205,1635,"""Capillary Electrophoresis """"Selma""""""",AD,Beckman Coulter,PA800,3063288,N/A,N/A,N/A,No,"""Capillary Electrophoresis """"Selma""""""",Capillary electrophoresis of proteins,N/A,Other,No,Yes,Yes,N/A,N/A,CAL-12,Yes,N/A,N/A,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
1206,1636,pH Meter,AD,VWR ,Symphony SB70P,D02560,N/A,N/A,N/A,No,pH Meter,Measure pH of solutions,N/A,Other,No,Yes,Yes,N/A,N/A,CAL-12,Yes,N/A,N/A,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
1207,1637,Micro Balance,AD,Mettler-Toledo; Inc.,XP26 ,429180022,N/A,N/A,N/A,No,Micro Balance,To weigh mg quantities of solids,N/A,Other,No,Yes,Yes,N/A,N/A,CAL-12,Yes,N/A,N/A,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
1208,1638,Large Balance,AD,Mettler-Toledo; Inc.,AB54-5 / FACT,1123133506,N/A,N/A,N/A,No,Large Balance,To weigh g quantities of solids,N/A,Other,No,Yes,Yes,N/A,N/A,CAL-12,Yes,N/A,N/A,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1209,1639,Sartorius Biowelder TC,TBD,Sartorius Corporation,N/A,BWTC633,Sartorius Stedim,N/A,30575,Yes,Sartorius Biowelder TC,To weld tubing together usually to attach media bags or additions to a bioreactor,N/A,GMP,Yes,No,Yes,N/A,(1) Depyrogenation Temp: >400°C for time >5 seconds (2) Ref. Temp. between 225°C & 255°C for time >10 seconds,CAL-6,Yes,N/A,(1) Inpect unit (2) Clean IR sensor (3) Clean internal parts with compressed air (4) Inspect latch bearing (5) Perform and verify test welds,PM-6,No (Calibration/Maintenance Not Required),,Tier 2,Yes,TBD,N/A,N/A,PM-Monthly cleaning to be performed as per SOP in house
1210,1640,Hot Lips Tube Sealer,TBD,GE Healthcare,28411704,1978354,N/A,N/A,N/A,Yes,Hot Lips Tube Sealer,To seal tubing (type of tubes used: C-Flex and Gore GF Series),N/A,GMP,Yes,No,Yes,N/A,temp: +/- 2.0°C @ 0.0°C; 75.0°C; 150.0°C & 225.0°C,CAL-6,Yes,N/A,(1) Distance check (2) Cleaning and inspection of retention pads and ptfe jaw covers,PM-6,No (Calibration/Maintenance Not Required),,Tier 2,Yes,TBD,N/A,N/A,N/A
1211,1641,Vi-Cell XR,MF,Beckman Coulter,383556,AY25366,Beckman Coulter,N/A,30409,No,Vi-Cell XR,The Vi-Cell is a cell counting instrument used during the upstream processes at Acceleron Pharma.,N/A,GMP,Yes,No,Yes,N/A,Cell density: 1 x 10^6 or 5 x 10^5 +/- 5%.  Viability after focus and brightness calibration > 85%,CAL-12,Yes,N/A,"Change the syringe, check all systems, focus and concentration tested with beads.",PM-12,No (Calibration/Maintenance Not Required),,Tier 2,Yes,N/A,N/A,15020-IOQ,Vendor Qualification 
1212,1642,Sci-con Conductivity Monitor,MF,Parker Hannifin,080-590,SC081531616,Parker Hannifin,080-590,31298,Yes,SciCon Conductivity Monitor,To measure in l ine conductivity during chromatography steps.,"4 - 40°C +/- 0.7°C, 1 µS/cm to 200 mS/cm +- 8 µS/cm",GMP,No,No,No,No calibration is required for this instrument per manufacturer's recommendations.,N/A,N/A,No,No scheduled PM for this instrument per manufacturer's recommendations.,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1213,1643,SciLog Pressure Monitor,MF,Parker Hannifin,080-690,SP0815J-2102,Parker Hannifin,080-690,31298,Yes,SciLog Pressure Monitor,To measure in-line pressure during chromatography and filtration steps.,0 - 60 psi,GMP,No,No,No,No calibration is required for this instrument per manufacturer's recommendations.,N/A,N/A,No,No PM to be scheduled for this instrument per manufacturer's recommendations.,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1214,1644,"Bahco 3/8"" Torque Wrench",MF,Bahco,7451-100,0914060466,Sartorius Stedim,7451-100,31325,Yes,"Bahco 3/8"" Torque Wrench","This wrench will be used to tighten the Sartocon and Sartoflow 5U Filter holders, which occurs during the UFDF step in downstream processing (MF108).",10 - 100 nM,GMP,No,No,Yes,N/A,"20 nM, 60 nM @ 3 %",Annual,No,Preventive maintenance not required per manufacturer's recommendations.,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1215,1645,Bench Top Centrifuge,AD,Eppendorf,Mini Spin,5452XO545575,N/A,N/A,N/A,No,Bench Top Centrifuge,To perform TM150 and TM151,0.0 - 13.4 K RPM,GMP,No,No,Yes,N/A,"RPM calibration.
Acceptance Criteria:  Same as QC 0959.  1,000 rpm +/- 50 rpm, 5,000 rpm +/- 50 rpm, 13,000 rpm +/- 50 rpm
Time:  5 min +/- 30 seconds",Semi-annual,Yes,N/A,"Same as QC0959 if required.
(1) Check cycle timer. (2) Check unit voltage & amperage. (3) Inspect rotors for pitting or imbalance. (4) Check lid latch. safety interlock. (5) Check gaskets and seals, latches and hinges.",Semi-annual,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1216,1646,Bench Top Centrifuge,AD,Eppendorf,5415R,5426YG327951,N/A,N/A,N/A,No,Bench Top Centrifuge,To perform TM150 and TM151.,0.0 - 13.2 K RPM / 0.0 - 16.1 RCF,GMP,No,No,Yes,N/A,"RPM calibration.
Acceptance Criteria:  Same as QC 0959.  1,000 rpm +/- 50 rpm, 5,000 rpm +/- 50 rpm, 13,000 rpm +/- 50 rpm
Time:  5 min +/- 30 seconds",Semi-annual,Yes,N/A,"Same as QC0959 if required.
(1) Check cycle timer. (2) Check unit voltage & amperage. (3) Inspect rotors for pitting or imbalance. (4) Check lid latch safety interlock. (5) Check gaskets and seals, latches and hinges.",Semi-annual,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1217,1647,VWR Pipetman 100-1000 µL,PB,VWR,VWR VE1000,542760858,VWR,89079-974,PO 31044,Yes,VWR Pipetman 100-1000 µL,"Research in R & D group, General pipetting.",100-1000 µL,Other,No,No,Yes,N/A,Level 2 pipette calibration,Annually,Yes,N/A,Level 2 pipette scheduled maintenance,Annually,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,N/A,N/A,N/A
1218,1648,VWR Pipetman 0.5-10 µL,PB,VWR,VWR VE10,542720639,VWR,89079-962,PO 31044,Yes,VWR Pipetman 0.5-10 µL,"General research activities.  SDS-Page Gel, etc. (R & D Group)",0.5-10 µL,Other,No,No,Yes,N/A,Level 2 pipette calibration,Annually,Yes,N/A,Level 2 scheduled maintenance,Annually,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,N/A,N/A,N/A
1219,1649,VWR Pipetman 100-1000 µL,PB,VWR,VWR VE1000,442765672,VWR,89079-974,PO 31044,Yes,VWR Pipetman 100-1000 µL,"General research activities (R & D Group), SDS-Page Gels, etc.",100-1000 µL,Other,No,No,Yes,N/A,Level 2 pipette calibration,Annually,Yes,N/A,Level 2 pipette scheduled maintenance,Annually,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,N/A,N/A,N/A
1220,1650,McMaster Carr Torque Wrench,MF,McMaster Carr,DT250A,5898649180,McMaster Carr,DT250A,N/A,Yes,McMaster Carr Torque Wrench,To secure the Sartorius filter holders to a specific pressure.,0 - 28 nM,GMP,No,No,Yes,N/A,"Calibration to measurement range
Acceptance criteria:  20Nm +/- 3% ",Annually,No,PM not required by manufacturer,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1221,1651,Kaye Low Temperature Reference -90 (LTR-90),EN,Amphenol Advanced Sensors,LTR-90,B5B202,Amphenol Advanced Sensors,N/A,31790,Yes,Kaye Low Temperature Reference -90 (LTR-90),"Kaye LTR-90 is used during GxP equipment qualification and calibration to provide a stable, portable temp reference for performing thermocouple calibration.",-95°C to 140°C (139°F to 284°F),GMP,No,No,Yes,N/A,"Calibration by manufacturer is recommended.
Acceptance criteria:  -95°C, -45°C, 0°C, 25°C, 100°C, 140°C +/- 0.2°C",Annually,Yes,N/A,Scheduled maintenance by manufacturer.,Annually,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1222,1652,Mega Pure System MP-6A Glass Still,QC,Barnstead,A440697,1924080604247,Cole-Parmer,EW-99292-20,N/A,No,Mega Pure System MP-6A Glass Still,Removes most dissolved solids and all pyrogens & biological impurities from tap water or RODI water.  Water is then used to make solutions in Quality Control.,N/A,GMP,No,No,No,No calibration required for this piece of equipment per vendor's recommendation.,N/A,N/A,Yes,N/A,Annual scheduled maintenance.,Annual,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1223,1653,45 cm Column BPG 450/500,MF,GE Healthcare,18-1103-71,2025653,GE Healthcare,18-1103-71,31667,Yes,45 cm Column BPG 450/500,To house resin for column chromatography steps.,N/A,GMP,Yes,Yes,No,This equipment does not contain parts that require calibration.,N/A,N/A,No,This equipment is to be inspected prior to use and cleaned during each use.  Columns are further maintained in BR093.,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,N/A,N/A,N/A
1224,1654,45 cm Column BPG 450/500,MF,GE Healthcare,18-1103-71,2025633,GE Healthcare,18-1103-71,31667,Yes,45 cm Column BPG 450/500,To house resin for column chromatography steps.,N/A,GMP,Yes,Yes,No,This equipment does not contain parts that require calibration.,N/A,N/A,No,This equipment is inspected prior to use and cleaned during each use.  Columns are further maintained in BR093.,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,N/A,N/A,N/A
1225,1655,"Freezer, -80",MM,Revco,UXF50086A,0148323501151204,VWR,89200-452,31664,No,-80 Freezer,Storage of Drug Substance,-80 +/- 10,GMP,No,Yes,Yes,N/A,-80C +/- 10C ,CAL-6,Yes,N/A,"(1)Clean compressor compartment, condenser and fan blades (2)Clean filter screen (3)remove ice build-up from sublids and breaker strips (4)check back-up alarm battery out of circuit (5)inspect compressor operation (6)check amperage and voltage at compressor (7)check all seals, gasket, latches, and hinges (8)inspect all relays",PM-6,Yes,1655_-80Freezer_Cert_26Jan16.pdf,Tier 1,Yes,N/A,N/A,16009-IOQ,The freezer IOQ was successfully executed and completed 
1226,1658,Flow Meter,MF,Em-tec GMBH,EM12607,89882,HPNE,EM12607,31523,Yes,"BCT 3/8x1/8 A

A clamp-on transducer that measures liquid flow through single use tubing (18-0102) by sound wave technology. The unit communicates to a Quattroflow pump. ",Intended for use at column chromatography during steps to measure flow rates.,1-10 lpm,GMP,Yes,No,Yes,N/A,"Semi-annual calibration by manufacturer (in Germany - unit needs to be shipped out for CAL) using water at ambient temp with C-Flex 374 [#23] (BCT 3/8 x 1/8A) tubing material.  Maximum flow rate is 10lpm, calibration at 1lpm (+/-5%), 5lpm (+/-3.4%) and 8lpm (+/- 3.3%). 

Three primary factors influence the accuracy of the meter: tubing material, the density of the medium and temperature of the liquid being measured. Therefore the unit must be calibrated to the specific tubing material and dimensions.",CAL-6,No,No preventive maintenance is required per manufacturer and/or vendor as there are no moving parts within the unit. ,N/A,N/A,Yes,1658 Flow Meter Cal Sheet_13NOV2015.pdf,Tier 1,Yes,N/A,N/A,16005-PQ,"Performance Qualification consisted of Flow Meter Verification at 1, 2, 5, 7 lpm for seven buffers and Quattroflow Pump Totalizer Verification at 1 and 7 lpm for WFI.  All acceptance criteria passed.  "
1227,1659,Quattroflow Pump with Flow Meter function,MF,Quattroflow Fluid Systems,QF1200-SU,25478,High Purity New England,HPN01-SPSN-030,31523,Yes,"Quaternary diaphragm pump with Single use pump chamber. This pump has Pendotech pressure sensor capability, and ability for communication with Emtec Bio-TT Flow Meter."," With flow meter capability, it will be mostly for use in column chromatography. This pump can also be used in viral and ultra filtration steps. Because it will be used to determine flow rate and CVs flowed over the column, it is a relatively high impact unit in the MFG process.  Refer to specific batch record for appropriate process range at point of use.",0.02-27L/min. Pressure to 40psi,GMP,Yes,No,No,"The Quattroflow pump utilizes the flow rate output from the Emtec Flow Meter (Asset #1658) which gets calibrated annually, thus the pump itself does not need calibration and it was not recommended  by the manufacturer.",N/A,N/A,No,"No scheduled maintenance is required per manufacturer.  It was recommended that the Shaft-Bearing Cap Unit gets replaced if liquid infiltrates it and/or a leak is observed.  

Single-Use pump chambers shall be thrown out after each use (filtrations) or dedicated to a column and used for a campaign. ",N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,Yes,N/A,N/A,"16005-PQ, 16006-PQ ","Performance Qualification consisted of Flow Meter Asset #1658  Verification at 1, 2, 5, 7 lpm for seven buffers and Quattroflow Pump Totalizer Verification at 1 and 7 lpm for WFI.  All acceptance criteria passed.  "
1228,1660,Quattroflow Pump,MF,Quatroflow Fluid Systems,QF1200-SU,25476,High Purity New England,HPN01-SPSN-100,31404,Yes,"Quatrenary pump with single use pump chamber and pendotech pressure shutoff.
","For use in chromatography, VF and UF/DF steps. High impact to the process.","Flow cabability: 0.02-27L/min, processes have varying flow rates.  Pressure: up to 40 psi.",GMP,Yes,No,No,"Pump does not require calibration because the operator will be collecting the buffers and confirming the weight using a calibrated scale, therefore not relying on flow rate or speed on the pump.  When flow rate is required, it will be taken with a graduated cylinder and calibrated timer per batch record. ","N/A
",N/A,No,"No scheduled maintenance is required per manufacturer.  It was recommended that the Shaft-Bearing Cap Unit gets replaced if liquid infiltrates it and/or a leak is observed.  

Single-Use pump chambers shall be thrown out after each use (filtrations) or dedicated to a column and used for a campaign. ",N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,Qualification not required.
1229,1661,Quattroflow Pump,MF,Quattroflow Fluid Systems,QF1200-SU,25477,High Purity New England,HPN01-SPSN-100,31404,Yes,Quatrenary pump with single use pump chamber and pendotech pressure shutoff.,For use column chromatography or in VF and UF/DF steps. High impact to the process.,Flow capability: 0.02 - 27 LPM with varying process ranges. Pressure limit set to 40 psi ,GMP,Yes,No,No,"Pump does not require calibration because the operator will be collecting the buffers and confirming the weight using a calibrated scale, therefore not relying on flow rate or speed on the pump. When the flow rate is required, it will be taken with a graduated cylinder and a calibrated timer per batch record. ","N/A
",N/A,No,"No scheduled maintenance is required per manufacturer.  It was recommended that the Shaft-Bearing Cap Unit gets replaced if liquid infiltrates it and/or a leak is observed.  

Single-Use pump chambers shall be thrown out after each use (filtrations) or dedicated to a column and used for a campaign. ",N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,N/A
1230,1663,Sartocon Slice Plate and Frame,MF,Sartorious Stedim,BB-8775004,65110005,Sartorious Stedim,BB-8775004,31325,Yes,Plate and frame filter holder system. ,The holder will use a 0.42m2 cassette for UFDF steps. This device does not come in contact with the product and therefore can be categorized as low impact.,0-200bar. Process: 80-115 bar (1200-1650 Psi),GMP,Yes,No,No,"Equipment users will maintain the holder per MF108 and does not require additional CAL/PM.  

",N/A,N/A,No,"Equipment users will maintain the holder per MF108 and does not require additional CAL/PM 

This slice holder is essentially nuts and bolts and does not require PM. ",N/A,N/A,Yes,Manual_Sartocon_Slice_SU_85037-545-73-d-e 8775004.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1231,1664,Sartoflow Plate and Frame Holder ,MF,Sartorious Stedim,85037-544-46,65120001,Sartorious Stedim,85037-544-46,31325,Yes,Plate and Frame TFF filter cassette holder with hydraulic pump system.,For UFDF steps requiring 1.4m2 filter surface area. There is no product contact during the use of this device.,"0 -200 bar, process: 150-170 Bar (2175-2465 Psi).",GMP,Yes,No,No,Calibration not recommended by manufacturer (Sartorius) and calibration service vendor (Alert) as it would require taking the gauge off the unit ,N/A,N/A,No,No scheduled PM required for this unit; spot checks will be done by the equipment users prior to use per MF108 ,N/A,N/A,Yes,Manual_SARTOFLOW-SU-Filter-Holder_SPC6049-e 2014 Eng.pdf,Tier 1,No,N/A,N/A,N/A,N/A
1232,1665,45cm Chomatography Column,MF,GE,BFG 450/500,2028311,GE,BFG 450/500,31667,Yes,"45cm chromotography column consisting of a glass cylinder, stainless housing and column adaptor",Column will be used to house resin for chromotography,N/A,GMP,No,Yes,No,Does not require scheduled calibration,N/A,N/A,No,During changeover all parts are checked,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,N/A,N/A,N/A
1233,1666,Thermometer,MF,Control Company,23609-176,150673667,VWR,23609-176,32467,Yes,Long stem digital thermometer.,Measuring the temperature of non-product in process liquids. Low impact.,-50C to 300C,GMP,No,No,No,Thermometer will be disposed after its calibration due date on 08SEP2017. ,N/A,N/A,No,No moving parts to PM for thermometers,N/A,N/A,Yes,1666_Thermometer_MFG_02Feb16.pdf,Tier 4,No,N/A,N/A,N/A,Validation/Qualification not required for Tier 4 timers.
1234,1667,Torque Wrench,MF,Wera,7000A,OE02401,High Purity New England,QF12TKIT,31292,Yes,A calibrated torque wrench.,For use with the 1200 Quattroflow pumps to apply correct torque the single use pump chamber. ,5-25Nm. 1.5-1.8lbf-ft.,GMP,No,No,Yes,N/A,"This torque wrench will be calibrated to 5, 15, and 25 Nm with +/-4% tolerance annually. ",CAL-12,No,No moving parts for the torque wrench and a PM was not required per manufacturer or vendor,N/A,N/A,Yes,1667_Wera_torque wrench_01Feb16.pdf,Tier 3,No,N/A,N/A,Qualification/Validation Not Required,N/A
1235,1668,Torque Wrench,MF,Wera,7000A,OE02428,HPNE,QF12TKIT,31292,Yes,Torque wrench.,To tighten the single use pump chamber into the quattroflow 1200 pumps.,"5-25nM, 1.5-18lbf",GMP,No,No,Yes,N/A,"This torque wrench will be calibrated to 5, 15, and 25 Nm with +/-4% tolerance annually. ",CAL-12,No,No moving parts for the torque wrench and a PM was not required per manufacturer or vendor,N/A,N/A,Yes,1668_Wera_torque wrench_01Feb16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1236,1669,Timer,MF,Control Company,5004-169,150696774,VWR,62344641,32467,Yes,Calibrated Timer.,To measure time in processing. Low impact.,"to the second, up to 99 hours.",GMP,No,No,No,Timer will be discarded after its current calibration is due 18SEP2017,N/A,N/A,No,No moving parts to PM for timers ,N/A,N/A,Yes,1669_Timer_02Feb16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
1237,1670,Long Stem Thermometer,MF,Control Company,23609-176,150673654,VWR,23609-176,32467,Yes,Long stem calibrated thermometer.,To measure temperature of in process liquids. Low impact.,-50  to + 300C,GMP,No,No,No,Thermometer will be discarded after its calibration is due on SEP2017. ,N/A,N/A,No,No PMs necessary for this thermometer as it does not contain any moving parts,N/A,N/A,Yes,1670_Thermometer_MFG_11Feb16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
1238,1671,Temp and RH Transmitter (Rm 107),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Cell Culture 1 (Room 107) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature; +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,1671_Temp and RH sensor_02Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1239,1672,Temp and RH Transmitter (Rm 111),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Cell Culture 2 (Room 111) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,1672_Temp and RH sensor_02Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1240,1673,Temp and RH Transmitter (Rm 115),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Purification 1 (Room 115) ,Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature, +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,1673_Temp and RH sensor_02Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1241,1674,Temp and RH Transmitter (Rm 117),EN,CES,Veris HT2NAS2B,N/A,CES,N/A,N/A,No,Temperature and relative humidity transmitter for Purification 2 (Rm 117),Monitor temperature and relative humidity of controlled spaces ,"<60% RH, 20-25C ",GMP,No,No,Yes,N/A,"< 60% Relative Humidity, 20-25C Temperature, +/- 5% tolerance",CAL-6,No,No moving parts to PM,N/A,N/A,Yes,1674_Temp and RH sensor_02Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1242,1676,Mass Flow Controllers,MF,Finesse,F110-2098-604,AD7801630001A134,Finesse,N/A,32143,No,"Mass Flow Controllers for Single Use Bioreactors in Cell Culture MF; Gases: Air, Air, O2, CO2 (Config Code: A10-A10-O05-C02-000-000)","Back up for MFCs (Asset #1587, 1588).  Unit is used to control flow rate of various gases to the SUBs used in GMP Manufacturing.","Air 1 0-6lpm, Air 2 0-6lpm, O2 0-5lpm, CO2 0-2lpm ",GMP,No,No,Yes,N/A,Unit is sent out and calibrated by manufacturer (Finesse) and is calibrated per manufacturer's recommendations,CAL-12,No,"Unit has no moving parts, PM not required per manufacturer's recommendations",N/A,N/A,Yes,1676_Mass Flow Controller_23Feb16.pdf,Tier 1,No,N/A,N/A,N/A,N/A
1243,1677,Timer,MF,Control Company,62344-641,150696935,VWR,62344-641,32467,Yes,Digital Timer.,Measure time in processing.,0 to 99:99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,1677_Timer_23Feb16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
1244,1678,Timer,MF,Control Company,62344-641,150696775,VWR,62344-641,32467,Yes,Digital Timer.,Measure time in processes.,00:00 to 99;99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,1678_Timer_23Feb16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
1245,1679,Timer,MF,Control Company,62344-641,150696992,VWR,62344-641,32467,Yes,Digital Timer,Measures time in processing.,00:00 to 99:99 min/sec,GMP,No,No,No,Timer will be discarded after its calibration is due SEP2017,N/A,N/A,No,No parts to PM in this timer,N/A,N/A,Yes,1679_Timer_23Feb16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
1246,1680,Walk in Cold Room Rm247,QC,Modulalarm Corp,75,N/A,N/A,N/A,N/A,No,Walk in cold room for the storage of GMP materials. The cold room had been assigned asset # 1044 Change of ownership was documented on a new asset accession form and new asset # number needs to be assigned.,"Storage for in process manufacturing samples, GMP materials/reagents for testing and drug product reserves. ",2-8C,GMP,No,No,Yes,N/A,"2-8C, +/- 1C ",CAL-6,Yes,N/A,"Checks condensing unit, compressor, fans, refrigerant quantity,driers, evaporator coil, control panel, various pressures, etc. ",PM-6,Yes,1680_Cold Room_11Mar16.pdf,Tier 3,Yes,N/A,N/A,09049-IOQ-A1,"First amendment to original qualification 09049-IOQ-P to evaluate recent repair, full 24 hour empty chamber temperature mapping study and an open door temperature mapping study will be completed prior to GMP use. "
1247,1683,Wavelength Resolution Reference Material for UV & Visible Spectrophotometry,QC,Starna Scientific,RM-TX,22471,Starna Scientific,RM-TX,33149,Yes,NIST wavelength resolution spectrophotometric standard:  Hexane in Toluene.,Semi annual calibration/PM of UV-VIS spectrometer 0394,N/A,GMP,No,No,Yes,N/A,Manufacturer's specifications,CAL-24,No,No PM required per manufacturer's recommendation as there are no moving parts in this unit,N/A,N/A,Yes,1683_UV Spec Standard_Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1248,1684,Stray Light Reference Material for UV & Visible Spectrophotometry,QC,Starna Scientific,RM-KC,22470,Starna Scientific,RM-KC,33149,Yes,NIST KCl spectrophotometric stray light standard,Semi annual calibration of UV-VIS spectrophotometer 0394,N/A,GMP,No,No,No,N/A,Manufacturer's specifications,N/A,No,No PM required per manufacturer's recommendation as there are no moving parts within this unit,N/A,N/A,Yes,1684_UV Spec Standard_Mar16.pdf,Tier 3,No,N/A,N/A,N/A,N/A
1249,1685,2-8 C Refrigerator,AD,Thermo Scientific,RCR314A14,50101838435U,Thermo Scientific,531DRA00006A,N/A,No,2-8 C Refrigerator ,"Storage of development samples and reagents.

Storage of reagents that support DP and DS release and stability testing.",2-8 C,Other,No,No,Yes,N/A,The attached thermometer (with temp display) gets calibrated semi-annually with the refrigerator; 5C +/-3C ,CAL-6,Yes,N/A,"(1) Clean compressor compartment, condenser, fan blades (2) Check back-up alarm battery out of circuit (3) Inspect compressor operation (4) Check amperage & voltage at compressor",PM-6,Yes,"1685_2-8C fridge temp thermometer_Apr16.pdf
1685_2-8C fridge by Alert_Apr16.pdf",Tier 4,No,N/A,N/A,N/A,N/A
1250,1686,-20 C Freezer,AD,Fisher Scientific,13-986-148,2017090319624,Fisher Scientific,N/A,N/A,No,-20 C Freezer,Used to store samples and reagents for development.,<-18 C,Other,No,No,Yes,N/A,Calibrate external thermometer semi-annually to -20C +/- 2C ,CAL-6,Yes,N/A,"1.) Clean compressor compartment, condenser, condenser filter, fan blades  2.) inspect all relays 3.) check amerage and voltage at compressors 4.)check all seals, gaskets, latches, hinges 5.) inspect compressor operation",PM-6,Yes,1686_-20C freezer by Alert_Apr16.pdf,Tier 4,No,N/A,N/A,N/A,N/A
